id_cnpj,prob_default,score_credito,risco_credito,total_boletos,n_default,pct_default,defaultou
025a48d9c8d4a2c968f87676d479ed8647ac6499c7cb21a936a4328a4dc8a975,0.10756914305380592,89.24308569461941,BAIXO,1,0,0.0,0
0276d9746ca146d6af6cd397ba7438f877736dddb185eea343f5c5a5ad4d16c8,0.08039225254670974,91.96077474532902,BAIXO,2,0,0.0,0
027f0fd7392eab23737949f0f45d4d94044501b414c8836793a53a516ccc523d,0.08825279125921198,91.1747208740788,BAIXO,1,0,0.0,0
029903066635cb573f2b50522962c01e8dc8f7c46625ac9c232d7fb9770017e7,0.8943820875039938,10.561791249600617,ALTO,4,2,0.5,1
02a85b7e377d3b49db10b22afa0576acdbbee83834c7e444581e062c65ebc435,0.2213776241054342,77.86223758945658,MEDIO,1,0,0.0,0
02b2efbd7272551f192f5661301b221ceb764a45c31bba9c1d5e67212d96e1d9,0.017896534088389374,98.21034659116106,BAIXO,2,0,0.0,0
02bbd2fee9b8b0a577a5ca23d99e2141aa175df0eeb73d6cdd5b6c1f72cf0a4a,0.16325836363343302,83.6741636366567,MEDIO,1,0,0.0,0
02bc5d1eb23d7fd25f72d65a334b145ba19909270ba44fb6d12e13e971137a45,0.004765714296392155,99.52342857036078,BAIXO,1,0,0.0,0
02bc9f4352d3bbe3dcba7fabd1b347ddbcc5d8a7f01c77319c0b5ead30469499,0.04199444884606956,95.80055511539305,BAIXO,2,0,0.0,0
02c0b9128f8c0d0c480c328b92efa7585f0fe997cb0bfcc24874a9c2925fccde,0.022032430125116683,97.79675698748834,BAIXO,1,0,0.0,0
02c357a53273f65c88bccb76fe4b754923445f0fc0bcffec55bc1611f26257eb,0.0764754972331773,92.35245027668228,BAIXO,1,0,0.0,0
02f27cefdd07cb806495d09bfc8c633349426a43795164ce376d0659e16ca545,0.00841678824979622,99.15832117502038,BAIXO,1,0,0.0,0
02faf700b2f9d26a9a0f8fcd1fc2f321333f48ccbc077b8e17f093bb9b88de4f,0.1689553471980368,83.10446528019632,MEDIO,1,0,0.0,0
03032d5545d03d6a80c2c0c7a246cd21ee99220c88185ede3e61147637522414,0.1501922896484358,84.98077103515642,MEDIO,1,0,0.0,0
032de167a32b1c0fad8ef0d8075d89c942c772a82a888bab322d0493e5dffb13,0.14254318575272729,85.74568142472727,BAIXO,1,0,0.0,0
0342a204c8f2ac38fa1b0d1fe11cb8ee3845a42c3604fd46a85dc2f188f39a1a,0.028593876927085926,97.1406123072914,BAIXO,2,0,0.0,0
0351113dbf32d54c59d2e796d34294af15952ad722cced17e73b837e2708291b,0.010376300844246561,98.96236991557534,BAIXO,1,0,0.0,0
035448685b88a3f018019e43fdf8ecaeabc24b8157f81c4b6597ba10e98d76e0,0.03735527081160438,96.26447291883956,BAIXO,2,0,0.0,0
0375b747ff1a0376fa206f8c786d20368edec76826fe47e9374176d84edb4870,0.024419279749881583,97.55807202501184,BAIXO,1,0,0.0,0
0397be76b44c0cd77d6801abc4a723fca950512982bd9589eae82b1ea00b7269,0.07530262367603321,92.46973763239667,BAIXO,1,0,0.0,0
039b2e75b6eeef7cc32e5d7a5b4b3215dda9788c0fcf31e1c8395925aa081b4d,0.04208017334468143,95.79198266553186,BAIXO,1,0,0.0,0
03a23c6d0c731f423c89d33ecd90fefcd106e3614ca8326838d5ba9128342601,0.7585538470745891,24.144615292541094,ALTO,1,1,1.0,1
03a96499773502afde5d8196f52121136be8832f060b9ebaea7615209d644b0a,0.06532805935226167,93.46719406477384,BAIXO,1,0,0.0,0
03c7017fd6e94583fbc67fe7d77ec35b84824a3b14559a46a27d2654b47ed28b,0.11252283451971704,88.7477165480283,BAIXO,1,0,0.0,0
03cc399315efb0e3d30fb28422ecfbd83315025747ca0fb096368bb230af4a7e,0.05607990409481716,94.39200959051828,BAIXO,1,0,0.0,0
03dd42fa86c38bf08534b47e1580be91b35dad7fbccd330ccf8403c294c77c9a,0.011303469729774186,98.86965302702258,BAIXO,1,0,0.0,0
03de6595066767567620bb6f2181abd6473201580d4c922978d558ab3d14afa4,0.3711670740662479,62.88329259337522,MEDIO,1,0,0.0,0
04035511eb7373bdca98b42e8bd5ae09bc958910f2ec407aadbeaa2b46a19d29,0.032454159502802546,96.75458404971975,BAIXO,2,0,0.0,0
040442ac14fbb8a32b7b47da75bed955817f53134008cefcf628fd82ea5c44e7,0.024040343469882902,97.5959656530117,BAIXO,1,0,0.0,0
0427016f184de570f9d6f115776b50ab961b1b547c352330c2efbf30df95f96c,0.03514335720236535,96.48566427976345,BAIXO,1,0,0.0,0
0435cbc051f69223afa9fc4b66d46ff9c82b14e11bee604f69d7c7999b65a1dd,0.1500440255464768,84.99559744535232,MEDIO,1,0,0.0,0
04377762b04d436e2c3e904b584b2da18806768e992c235ac53026be401aba09,0.018360178194225883,98.16398218057742,BAIXO,1,0,0.0,0
043b826aad24628fde2e145a11ae9bee12155e75b8d3b58ddbc0c3343a2a150d,0.03701144282156183,96.29885571784381,BAIXO,1,0,0.0,0
043ff829a5866403be9983860405d4a63ce140b6dfb2320fa56174158395596f,0.03735883138295792,96.26411686170421,BAIXO,2,0,0.0,0
044ce53215bd94b7619418e63379d0fc1dc18a9ddc74340e902a165413f0dc72,0.09293094664703615,90.70690533529638,BAIXO,1,0,0.0,0
046306c24eb7deb9de4130f21cb9254e05bb5636bbd1b39d9c49f60c8598aac1,0.011429798181065447,98.85702018189345,BAIXO,1,0,0.0,0
046dc19657e5ef9b348518f2eba12b7b3f4fc8179d5eb5c38ecd68e6dfb185d2,0.09562646524439442,90.43735347556056,BAIXO,1,0,0.0,0
04a1a6d846aeaee038910b10ae377608ff0847f452d8748e12ca2248e9708422,0.043523840588913024,95.6476159411087,BAIXO,1,0,0.0,0
04a7902b1bd94f26b2d49eca270b3ef118260724784b259e021ec4503f9bcf33,0.011902363435588866,98.80976365644112,BAIXO,3,0,0.0,0
04e884bda37cbb3f403800efef436300540b8aa66492e820dee6ec378dc2556c,0.10085483292799925,89.91451670720008,BAIXO,1,0,0.0,0
04e94b017a621851c7f16521d3ac5b1086594ac88b235c8b026929afee471707,0.05704207057869341,94.29579294213066,BAIXO,1,0,0.0,0
04ec5c2d804534138ef3ae62a152cff69995bee5c5ff996fb3239090b2f837e5,0.018526157050628152,98.14738429493718,BAIXO,3,0,0.0,0
04f814dc80e433898a79fbd2106d1c8e4a678f4167fa210dfbb5f96674b7137a,0.022782295551385418,97.72177044486145,BAIXO,1,0,0.0,0
0502c4ed8e29114cecfe7f6fc432255c689043e01096f7cec191314e65dd69ce,0.31139901961929256,68.86009803807073,MEDIO,4,0,0.0,0
053a44e6338c2ac07bd7aeee4d0b810d1f1cd63f10203247435591efbc9c43fb,0.10203953934962252,89.79604606503774,BAIXO,1,0,0.0,0
054e051830e363c00cc1b88e6e9d7651ad75e0dba49e3753b03d72e98f5d2f43,0.06303435100091373,93.69656489990862,BAIXO,8,0,0.0,0
054ffabbbac7fd9c2766f154264fa0a235c999041d36d77637df9839f0f53c8a,0.03256433308339448,96.74356669166056,BAIXO,3,0,0.0,0
0553f6d3d4b39088a3634ca734413f938e3ab974901067d0e8dcd1190c7aa89c,0.15724066003925175,84.27593399607483,MEDIO,2,0,0.0,0
055871b50374b32601d8e6dcc3d82dd71873bb1c65ae440b3e86183c2988b5c4,0.0060183643165825675,99.39816356834174,BAIXO,1,0,0.0,0
056b23b847f8f9cd8dadf04f827df2cabe9bb1d2385410b13b5635e157df8e1f,0.17852045754151247,82.14795424584875,MEDIO,1,0,0.0,0
0575aa4e4b50c894cd021d7cbf0774fa9ea670a1246c73c23a6d537f68e22595,0.09288258007091861,90.71174199290813,BAIXO,4,0,0.0,0
058ebde151919f17434a9f2d1c6f204cd05dd01c42edebf1f16ed6494d2c9274,0.2550803070045955,74.49196929954044,MEDIO,1,0,0.0,0
059313ee8c4ea9971df4333d8ff4c31279ebda1eec1dc3832f8a1bad8817c1b2,0.03737424058465271,96.26257594153473,BAIXO,6,0,0.0,0
059731019d67de9e150b3ce72050261d72841409190bc453afcfeef96fabb791,0.07806513750050287,92.19348624994971,BAIXO,3,0,0.0,0
05a8d3240ebc93422268809cff1f097b23a544a283106a845baae550e8586a4e,0.0971365635884645,90.28634364115355,BAIXO,2,0,0.0,0
05b8460a04107e073e6709b746eb03db0685615148cd9dcb765b6aa44401335a,0.0979620781558187,90.20379218441813,BAIXO,1,0,0.0,0
05dba64dfa88a6761d1c3c4551f5837b2eca86be0f9d38748481788b1b850285,0.11628002844717794,88.37199715528222,BAIXO,1,0,0.0,0
060098be29951489cd374d0e1f3b9fe96b47e2efe42ae188d505cdbc304e9c7e,0.08409610878690925,91.59038912130907,BAIXO,1,0,0.0,0
060ad8d429acf5afc7c397a16f70c9b2e9c68f8f6e85001255d327b784a47a59,0.8934795197960007,10.65204802039993,ALTO,1,1,1.0,1
0620a9b097c81f1f7414769ab6ad7533f66f4f2db5d2e0d14978d4d7a58fb2a4,0.01606994576939382,98.39300542306061,BAIXO,1,0,0.0,0
062aa39b04aa666244d5ff83ad0ff0dff9cad80ba0b217a5e8650aa670c99d72,0.015477637154632698,98.45223628453674,BAIXO,1,0,0.0,0
063de60114bf9a4c21e585b2422d895e4cebb0911a97a4ae4929cfc6d533db7d,0.14311616749443742,85.68838325055626,BAIXO,1,0,0.0,0
06494fadb889416aba60253f27333b27c4fb1db85e7e2975785f527b2cb7058b,0.032900256810150325,96.70997431898498,BAIXO,1,0,0.0,0
0653ea898079dee7487a0137b658691354cd69b7c01b85c7c8eacbda649427d1,0.10653377952012269,89.34662204798774,BAIXO,5,0,0.0,0
0694eb7869a0358d5bbcd69039baefc7aa083c32369106356d43a31c82f02d60,0.043837663804499424,95.61623361955006,BAIXO,2,0,0.0,0
06a8b7e26fb7140e3937a840566895c03236f3c0b9264881f7922ed998246088,0.09961797159820975,90.03820284017903,BAIXO,1,0,0.0,0
06a9ff1fb415d1f94d3cc2be28efccbe8e80c22b85d9007d57d8d1dab62b4ff0,0.041454667842237766,95.85453321577623,BAIXO,1,0,0.0,0
06b6e1b4af9fe1f6d970880ebc8be52e840a9ba93fe5333b18622c1c4c306280,0.04891457535233006,95.108542464767,BAIXO,1,0,0.0,0
06baeff25e03c94b14559d2d3dee794edf3777a8a3b6b3702fcf131c9f0bf66d,0.039721629741743196,96.02783702582568,BAIXO,1,0,0.0,0
06f52a15ee2e17dd6a5637e5fefb155c3fd74c7ce9150e3aaae14867cc67acc0,0.09984602814919057,90.01539718508094,BAIXO,1,0,0.0,0
06f73a04094dd855120b81078f9171f10e4ccc70b1ad0e4923263f37ab13f9ca,0.0318405897174226,96.81594102825774,BAIXO,1,0,0.0,0
0703f0625cbfd61214c8e56a25186399b0424256ea06f75b946f44a3bced17ac,0.08149055835515104,91.8509441644849,BAIXO,2,0,0.0,0
0708050e8556436f5b38b1a738a3e1aee7071904f26f420e3a1d3eedf5e471f9,0.051921374772587243,94.80786252274127,BAIXO,1,0,0.0,0
07080af9b6e6508cf04463b57656a8a7f51255c0bc4364c2f08c6796bb407a1b,0.009770065023288348,99.02299349767117,BAIXO,1,0,0.0,0
070b484508b9fed3dbfa15bfe71390ae4504041f7fe74ee6642ddb49c19aa2e5,0.038208231097361496,96.17917689026385,BAIXO,2,0,0.0,0
070ef62d1e768aabc7df9250889bd6fb9701f55d7cfb742db06ea30cfc930d5f,0.09874696052124023,90.12530394787598,BAIXO,1,0,0.0,0
072cf549e054e27d23e63f9da255621ae3667b2bebabd0e4fcbdac585bff1c6a,0.09973551352781536,90.02644864721846,BAIXO,2,0,0.0,0
073c6deb270da69305d562e31f737bee7feabef501a06351da641e5f21d79936,0.032070822450319246,96.79291775496807,BAIXO,1,0,0.0,0
07817ef8c208df4327a9a44b30ee5fb3cd7e65d3da827358d835af833cdd0871,0.08015745764240775,91.98425423575922,BAIXO,1,0,0.0,0
0788ebb591b4ddb3f358817df7563de94e68c61e39f127e145e81ade180f9349,0.023009298014213832,97.69907019857862,BAIXO,2,0,0.0,0
